Date,Description,Amount,Balance,Category,Property_Id,Control Ledger
01/04/2024,Commission,(480.00),4320.00 ,Commission,Indaba,Letting agent Ledger
01/04/2024,Commission,(50.00),4270.00 ,Commission,Indaba,Letting agent Ledger
01/05/2024,Commission,(480.00),2660.00 ,Commission,Indaba,Letting agent Ledger
01/05/2024,Commission,(50.00),2610.00 ,Commission,Indaba,Letting agent Ledger
01/06/2024,Commission,(480.00),5253.87 ,Commission,Indaba,Letting agent Ledger
01/06/2024,Commission,(50.00),5203.87 ,Commission,Indaba,Letting agent Ledger
01/07/2024,Commission,(480.00),9523.87 ,Commission,Indaba,Letting agent Ledger
01/07/2024,Commission,(50.00),9473.87 ,Commission,Indaba,Letting agent Ledger
01/08/2024,Commission,(480.00),11594.11 ,Commission,Indaba,Letting agent Ledger
01/08/2024,Commission,(50.00),11544.11 ,Commission,Indaba,Letting agent Ledger
01/09/2024,Commission,(480.00),11594.11 ,Commission,Indaba,Letting agent Ledger
01/09/2024,Commission,(50.00),11544.11 ,Commission,Indaba,Letting agent Ledger
01/10/2024,Commission,(480.00),11594.11 ,Commission,Indaba,Letting agent Ledger
01/10/2024,Commission,(50.00),11544.11 ,Commission,Indaba,Letting agent Ledger
01/11/2024,Commission,(480.00),11594.11 ,Commission,Indaba,Letting agent Ledger
01/11/2024,Commission,(50.00),11544.11 ,Commission,Indaba,Letting agent Ledger
01/12/2024,Commission,(480.00),4320.00 ,Commission,Indaba,Letting agent Ledger
01/12/2024,Commission,(50.00),4270.00 ,Commission,Indaba,Letting agent Ledger
01/01/2025,Commission,(480.00),4320.00 ,Commission,Indaba,Letting agent Ledger
01/01/2025,Commission,(50.00),4270.00 ,Commission,Indaba,Letting agent Ledger
01/02/2025,Commission,(480.00),4320.00 ,Commission,Indaba,Letting agent Ledger
01/02/2025,Commission,(50.00),4270.00 ,Commission,Indaba,Letting agent Ledger
01/03/2025,Commission,(480.00),8590.00 ,Commission,Indaba,Letting agent Ledger
01/03/2025,Commission,(50.00),8540.00 ,Commission,Indaba,Letting agent Ledger
01/04/2025,Commission,(500.00),4858.28 ,Commission,Indaba,Letting agent Ledger
01/04/2025,Commission,(50.00),4808.28 ,Commission,Indaba,Letting agent Ledger
01/05/2025,Commission,(500.00),4500.00 ,Commission,Indaba,Letting agent Ledger
01/05/2025,Commission,(50.00),4450.00 ,Commission,Indaba,Letting agent Ledger
01/06/2025,Commission,(500.00),8950.00 ,Commission,Indaba,Letting agent Ledger
01/06/2025,Commission,(50.00),8900.00 ,Commission,Indaba,Letting agent Ledger
01/07/2025,Commission,(500.00),10355.78 ,Commission,Indaba,Letting agent Ledger
01/07/2025,Commission,(50.00),10305.78 ,Commission,Indaba,Letting agent Ledger
01/08/2025,Commission,(500.00),10355.78 ,Commission,Indaba,Letting agent Ledger
01/08/2025,Commission,(50.00),10305.78 ,Commission,Indaba,Letting agent Ledger
01/09/2025,Commission,(500.00),10355.78 ,Commission,Indaba,Letting agent Ledger
01/09/2025,Commission,(50.00),10305.78 ,Commission,Indaba,Letting agent Ledger
01/10/2025,Commission,(500.00),10355.78 ,Commission,Indaba,Letting agent Ledger
01/10/2025,Commission,(50.00),10305.78 ,Commission,Indaba,Letting agent Ledger
01/11/2025,Commission,(500.00),10355.78 ,Commission,Indaba,Letting agent Ledger
01/11/2025,Commission,(50.00),10305.78 ,Commission,Indaba,Letting agent Ledger
01/12/2025,Commission,(500.00),10355.78 ,Commission,Indaba,Letting agent Ledger
01/12/2025,Commission,(50.00),10305.78 ,Commission,Indaba,Letting agent Ledger
08/04/2024,Levy,(3044.52),1225.48 ,Levy,Indaba,Letting agent Ledger
07/05/2024,Levy,(1676.13),933.87 ,Levy,Indaba,Letting agent Ledger
01/06/2024,Levy, ,5203.87 ,Levy,Indaba,Letting agent Ledger
09/07/2024,Levy,(1509.68),7964.19 ,Levy,Indaba,Letting agent Ledger
08/08/2024,Levy,(3070.10),8474.01 ,Levy,Indaba,Letting agent Ledger
09/09/2024,Levy,(1509.68),10034.43 ,Levy,Indaba,Letting agent Ledger
07/10/2024,Levy,(1509.68),10034.43 ,Levy,Indaba,Letting agent Ledger
08/11/2024,Levy,(1509.68),10034.43 ,Levy,Indaba,Letting agent Ledger
09/12/2024,Levy,(1509.88),2760.12 ,Levy,Indaba,Letting agent Ledger
09/01/2025,Levy,(1509.48),2760.52 ,Levy,Indaba,Letting agent Ledger
01/02/2025,Levy, ,4270.00 ,Levy,Indaba,Letting agent Ledger
01/03/2025,Levy,(8181.72),358.28 ,Levy,Indaba,Letting agent Ledger
08/04/2025,Levy,(4808.28),0.00 ,Levy,Indaba,Letting agent Ledger
01/05/2025,Levy, ,4450.00 ,Levy,Indaba,Letting agent Ledger
09/06/2025,Levy,(3044.22),5855.78 ,Levy,Indaba,Letting agent Ledger
08/07/2025,Levy,(1509.98),8795.80 ,Levy,Indaba,Letting agent Ledger
07/08/2025,Levy,(1509.68),8796.10 ,Levy,Indaba,Letting agent Ledger
08/09/2025,Levy,(1509.68),8796.10 ,Levy,Indaba,Letting agent Ledger
10/10/2025,Levy,(1509.68),8796.10 ,Levy,Indaba,Letting agent Ledger
11/11/2025,Levy,(1509.68),8796.10 ,Levy,Indaba,Letting agent Ledger
09/12/2025,Levy,(1509.68),8796.10 ,Levy,Indaba,Letting agent Ledger
11/04/2024,"Maintenance (Inv: 0294) Toilet system, curi",(1660.00),(1660.00),Maintenance,Indaba,Letting agent Ledger
08/04/2024,Paid over,(1225.48),0.00 ,Deposit,Indaba,Letting agent Ledger
01/05/2024,Paid over, ,933.87 ,Deposit,Indaba,Letting agent Ledger
01/06/2024,Paid over, ,5203.87 ,Deposit,Indaba,Letting agent Ledger
01/07/2024,Paid over,(690.08),7274.11 ,Deposit,Indaba,Letting agent Ledger
08/08/2024,Paid over,(1199.90),7274.11 ,Deposit,Indaba,Letting agent Ledger
09/09/2024,Paid over,(2760.32),7274.11 ,Deposit,Indaba,Letting agent Ledger
07/10/2024,Paid over,(2760.32),7274.11 ,Deposit,Indaba,Letting agent Ledger
01/11/2024,Paid over,(10034.43),0.00 ,Deposit,Indaba,Letting agent Ledger
01/12/2024,Paid over,(2760.12),0.00 ,Deposit,Indaba,Letting agent Ledger
09/01/2025,Paid over,(2760.52),0.00 ,Deposit,Indaba,Letting agent Ledger
01/02/2025,Paid over, ,4270.00 ,Deposit,Indaba,Letting agent Ledger
