DATE,REF,DESCRIPTION,DEBIT,CREDIT,BALANCE,
26/02/2024,,Take-on Balances,297.39,,297.39,D
01/03/2024,INV00060,RESERVE FUND LEVY,152.17,,449.56,D
01/03/2024,INV00060,LEVY,637.75,,1087.31,D
01/03/2024,INV00060,SECURITY LEVY,328,,1415.31,D
01/03/2024,INV00060,EUA LEVY - PARKING,,,1415.31,D
01/03/2024,INV00060,ELECTRICITY JAN 2024: 18549 - 18717 = 168,557.76,,1973.07,D
01/03/2024,INV00060,SEWERAGE,134.38,,2107.45,D
01/03/2024,INV00060,WATER,136.14,,2243.59,D
01/03/2024,INV00060,REFUSE,241.8,,2485.39,D
01/03/2024,INV00060,METER READINGS,15,,2500.39,D
01/03/2024,INV00060,COMMON PROP ELECTRICITY,144.22,,2644.61,D
01/03/2024,INV00060,CSOS LEVIES,2.76,,2647.37,D
22/03/2024,ICN00008,ELECTRICITY JAN 2024: 18549 - 18717 = 168,,557.76,2089.61,D
01/04/2024,INV00107,REFUSE,241.8,,2331.41,D
01/04/2024,INV00107,METER READINGS,15,,2346.41,D
01/04/2024,INV00107,COMMON PROP ELECTRICITY,121.2,,2467.61,D
01/04/2024,INV00107,CSOS LEVIES,2.76,,2470.37,D
01/04/2024,INV00107,LEVY,637.75,,3108.12,D
01/04/2024,INV00107,SECURITY LEVY,328,,3436.12,D
01/04/2024,INV00107,EUA LEVY - PARKING,,,3436.12,D
01/04/2024,INV00107,ELECTRICITY FEB 2024: 18717 - 19058 = 341,,,3436.12,D
01/04/2024,INV00107,SEWERAGE,332.99,,3769.11,D
01/04/2024,INV00107,WATER,281.53,,4050.64,D
01/04/2024,INV00107,RESERVE FUND LEVY,152.17,,4202.81,D
01/05/2024,INV00153,RESERVE FUND LEVY,152.17,,4354.98,D
01/05/2024,INV00153,LEVY,637.75,,4992.73,D
01/05/2024,INV00153,SECURITY LEVY,328,,5320.73,D
01/05/2024,INV00153,EUA LEVY - PARKING,,,5320.73,D
01/05/2024,INV00153,ELECTRICITY MARCH 2024: 19058 - 19058 = 0,,,5320.73,D
01/05/2024,INV00153,SEWERAGE,210.21,,5530.94,D
01/05/2024,INV00153,WATER,166.96,,5697.9,D
01/05/2024,INV00153,REFUSE,241.8,,5939.7,D
01/05/2024,INV00153,METER READINGS,15,,5954.7,D
01/05/2024,INV00153,COMMON PROP ELECTRICITY,59.75,,6014.45,D
01/05/2024,INV00153,CSOS LEVIES,2.76,,6017.21,D
08/05/2024,GJNL0027,Overdue Interest,120.34,,6137.55,D
08/05/2024,GJNL0055,ARREAR ADMIN FEE,120,,6257.55,D
01/06/2024,INV00199,RESERVE FUND LEVY,152.17,,6409.72,D
01/06/2024,INV00199,LEVY,637.75,,7047.47,D
01/06/2024,INV00199,SECURITY LEVY,328,,7375.47,D
01/06/2024,INV00199,EUA LEVY - PARKING,,,7375.47,D
01/06/2024,INV00199,ELECTRICITY APRIL 2024: 19058 - 19421 = 363,,,7375.47,D
01/06/2024,INV00199,SEWERAGE,,,7375.47,D
01/06/2024,INV00199,WATER,,,7375.47,D
01/06/2024,INV00199,REFUSE,241.8,,7617.27,D
01/06/2024,INV00199,METER READINGS,15,,7632.27,D
01/06/2024,INV00199,COMMON PROP ELECTRICITY,,,7632.27,D
01/06/2024,INV00199,CSOS LEVIES,2.76,,7635.03,D
08/06/2024,GJNL0100,Overdue Interest,152.7,,7787.73,D
08/06/2024,GJNL0122,ARREAR ADMIN FEE,120,,7907.73,D
01/07/2024,INV00245,RESERVE FUND LEVY,152.17,,8059.9,D
01/07/2024,INV00245,LEVY,637.75,,8697.65,D
01/07/2024,INV00245,SECURITY LEVY,328,,9025.65,D
01/07/2024,INV00245,EUA LEVY - PARKING,,,9025.65,D
01/07/2024,INV00245,ELECTRICITY MAY 2024: 19421 - 19678 = 257,,,9025.65,D
01/07/2024,INV00245,SEWERAGE,213.2,,9238.85,D
01/07/2024,INV00245,WATER,169.34,,9408.19,D
01/07/2024,INV00245,REFUSE,241.8,,9649.99,D
01/07/2024,INV00245,METER READINGS,15,,9664.99,D
01/07/2024,INV00245,COMMON PROP ELECTRICITY,86.69,,9751.68,D
01/07/2024,INV00245,CSOS LEVIES,2.76,,9754.44,D
08/07/2024,GJNL0151,Overdue Interest,195.09,,9949.53,D
08/07/2024,GJNL0175,ARREAR ADMIN FEE,120,,10069.53,D
01/08/2024,INV000292,RESERVE FUND LEVY,152.17,,10221.7,D
01/08/2024,INV000292,LEVY,637.75,,10859.45,D
01/08/2024,INV000292,SECURITY LEVY,328,,11187.45,D
01/08/2024,INV000292,EUA LEVY - PARKING,,,11187.45,D
01/08/2024,INV000292,ELECTRICITY JUNE 2024: 19678 - 19932 = 254,833.12,,12020.57,D
01/08/2024,INV000292,SEWERAGE,243.29,,12263.86,D
01/08/2024,INV000292,WATER,193.13,,12456.99,D
01/08/2024,INV000292,REFUSE,256.31,,12713.3,D
01/08/2024,INV000292,METER READINGS,15,,12728.3,D
01/08/2024,INV000292,COMMON PROP ELECTRICITY,19.78,,12748.08,D
01/08/2024,INV000292,CSOS LEVIES,2.76,,12750.84,D
08/08/2024,GJNL0206,Overdue Interest,255.02,,13005.86,D
08/08/2024,GJNL0231,ARREAR ADMIN FEE,120,,13125.86,D
01/09/2024,INV000339,RESERVE FUND LEVY,152.17,,13278.03,D
01/09/2024,INV000339,LEVY,637.75,,13915.78,D
01/09/2024,INV000339,SECURITY LEVY,328,,14243.78,D
01/09/2024,INV000339,EUA LEVY - PARKING,,,14243.78,D
01/09/2024,INV000339,ELECTRICITY JUly 2024: 19932 - 20213 = 281,921.68,,15165.46,D
01/09/2024,INV000339,SEWERAGE,227.82,,15393.28,D
01/09/2024,INV000339,WATER,181.26,,15574.54,D
01/09/2024,INV000339,REFUSE,256.31,,15830.85,D
01/09/2024,INV000339,METER READINGS,15,,15845.85,D
01/09/2024,INV000339,COMMON PROP ELECTRICITY,21.02,,15866.87,D
01/09/2024,INV000339,CSOS LEVIES,2.76,,15869.63,D
04/09/2024,REC021521,CASHFOCUS 0784-0015-1,,3490,12379.63,D
06/09/2024,REC021615,ABSA BANK 0784-0015-1,,1029.43,11350.2,D
08/09/2024,GJNL0274,Overdue Interest,227,,11577.2,D
08/09/2024,GJNL0297,ARREAR ADMIN FEE,120,,11697.2,D
01/10/2024,INV000386,RESERVE FUND LEVY,152.17,,11849.37,D
01/10/2024,INV000386,LEVY,637.75,,12487.12,D
01/10/2024,INV000386,SECURITY LEVY,328,,12815.12,D
01/10/2024,INV000386,EUA LEVY - PARKING,,,12815.12,D
01/10/2024,INV000386,ELECTRICITY AUGUST 2024: 20213 - 20505 = 292,1059.96,,13875.08,D
01/10/2024,INV000386,SEWERAGE,260.84,,14135.92,D
01/10/2024,INV000386,WATER,210.94,,14346.86,D
01/10/2024,INV000386,REFUSE,256.31,,14603.17,D
01/10/2024,INV000386,METER READINGS,15,,14618.17,D
01/10/2024,INV000386,COMMON PROP ELECTRICITY,108.47,,14726.64,D
01/10/2024,INV000386,CSOS LEVIES,2.76,,14729.4,D
01/10/2024,ICN00043,ELECTRICITY AUGUST 2024: 20213 - 20505 = 292,,1059.96,13669.44,D
03/10/2024,REC022309,CASHFOCUS 0784-0015-1,,3490,10179.44,D
03/10/2024,REC022310,ABSA BANK 0784-0015-1,,852,9327.44,D
08/10/2024,GJNL0374,Overdue Interest,186.55,,9513.99,D
08/10/2024,GJNL0402,ARREAR ADMIN FEE,120,,9633.99,D
01/11/2024,INV000435,REFUSE,256.31,,9890.3,D
01/11/2024,INV000435,METER READINGS,15,,9905.3,D
01/11/2024,INV000435,COMMON PROP ELECTRICITY,130.23,,10035.53,D
01/11/2024,INV000435,CSOS LEVIES,2.76,,10038.29,D
01/11/2024,INV000435,LEVY,637.75,,10676.04,D
01/11/2024,INV000435,SECURITY LEVY,328,,11004.04,D
01/11/2024,INV000435,EUA LEVY - PARKING,,,11004.04,D
01/11/2024,INV000435,ELECTRICITY SEP 2024: 20505 - 20661 = 156,,,11004.04,D
01/11/2024,INV000435,SEWERAGE,264.04,,11268.08,D
01/11/2024,INV000435,WATER,213.53,,11481.61,D
01/11/2024,INV000435,RESERVE FUND LEVY,152.17,,11633.78,D
02/11/2024,REC022916,ABSA BANK 0784-0015-1,,1200,10433.78,D
04/11/2024,REC023010,CASHFOCUS 0784-0015-1,,3490,6943.78,D
09/11/2024,GJNL0442,Overdue Interest,138.88,,7082.66,D
09/11/2024,GJNL0467,ARREAR ADMIN FEE,120,,7202.66,D
01/12/2024,INV000481,REFUSE,256.31,,7458.97,D
01/12/2024,INV000481,METER READINGS,15,,7473.97,D
01/12/2024,INV000481,COMMON PROP ELECTRICITY,17.86,,7491.83,D
01/12/2024,INV000481,CSOS LEVIES,2.76,,7494.59,D
01/12/2024,INV000481,LEVY,637.75,,8132.34,D
01/12/2024,INV000481,SECURITY LEVY,328,,8460.34,D
01/12/2024,INV000481,EUA LEVY - PARKING,,,8460.34,D
01/12/2024,INV000481,ELECTRICITY OCT 2024: 20661 - 21092 = 431,,,8460.34,D
01/12/2024,INV000481,SEWERAGE,237.15,,8697.49,D
01/12/2024,INV000481,WATER,199.61,,8897.1,D
01/12/2024,INV000481,RESERVE FUND LEVY,152.17,,9049.27,D
09/12/2024,GJNL0505,Overdue Interest,180.99,,9230.26,D
09/12/2024,GJNL0529,ARREAR ADMIN FEE,120,,9350.26,D
01/01/2025,INV000527,RESERVE FUND LEVY,152.17,,9502.43,D
01/01/2025,INV000527,LEVY,637.75,,10140.18,D
01/01/2025,INV000527,SECURITY LEVY,328,,10468.18,D
01/01/2025,INV000527,EUA LEVY - PARKING,,,10468.18,D
01/01/2025,INV000527,ELECTRICITY NOV 2024: 21092 - 21270 = 178,,,10468.18,D
01/01/2025,INV000527,SEWERAGE,263.6,,10731.78,D
01/01/2025,INV000527,WATER,214.6,,10946.38,D
01/01/2025,INV000527,REFUSE,256.31,,11202.69,D
01/01/2025,INV000527,METER READINGS,15,,11217.69,D
01/01/2025,INV000527,COMMON PROP ELECTRICITY,182.04,,11399.73,D
01/01/2025,INV000527,CSOS LEVIES,2.76,,11402.49,D
09/01/2025,GJNL0560,Overdue Interest,228.05,,11630.54,D
09/01/2025,GJNL0585,ARREAR ADMIN FEE,120,,11750.54,D
27/01/2025,REC000734,CASHFOCUS 0784-0015-1,,1259.55,10490.99,D
01/02/2025,INV000573,RESERVE FUND LEVY,152.17,,10643.16,D
01/02/2025,INV000573,LEVY,637.75,,11280.91,D
01/02/2025,INV000573,SECURITY LEVY,328,,11608.91,D
01/02/2025,INV000573,EUA LEVY - PARKING,,,11608.91,D
01/02/2025,INV000573,ELECTRICITY  DEC 2024: 21270 - 21270 = 0,,,11608.91,D
01/02/2025,INV000573,SEWERAGE,227.16,,11836.07,D
01/02/2025,INV000573,WATER,183.7,,12019.77,D
